idx,Sentence,Fig_Exp,Replacement,DMS
1061,"Option 3. is more disruptive, as PT and TF would have different interfaces, which seems to be a big no-no.",no-no,"Option 3. is more disruptive, as PT and TF would have different interfaces, which seems important to avoid.","Option 3. is more disruptive, as the travel destination and mode of transportation would have different routes, which seems to be a big inconvenience."
1062,"Or maybe it is OK and we should only have some OOB ""slideshow"" running when installed that will showcase all toys.",showcase all toys,"Or maybe it is OK and we should only have some OOB ""slideshow"" running when installed that will demonstrate all the features","Or maybe it is OK and we should only have some out-of-the-box ""demonstration"" running when showcased that will display all the toys in the toyshop."
1063,Or maybe there is a way to tell the Linux kernel to don't trap unaligned accesses on x86 as well.,"way, tell, trap",Or maybe there is a method to detect the Linux kernel to don't block unaligned accesses on x86 as well.,Perhaps there is a method to communicate to the Linux kernel about avoiding the costly unaligned accesses on x86 as well.
1064,Otherwise I think this PR is ready for another set of eyes!,"ready for, a set of eyes!",Otherwise I think this PR is ready for another person to review.,"Furthermore, I believe this experiment is ready for another set of data points!"
1065,Otherwise there will be a ton of empty folders sitting around.,sitting around,Otherwise there will be a ton of empty folders not being used.,Otherwise there will be a ton of empty shopping bags scattered across the park.
1066,Otherwise this could give us a nasty bug.,"give, nasty bug",Otherwise this could result in a dangerous error in code.,"Otherwise, this neglected garden could provide us with an unpleasant insect."
1067,"Otherwise this will become a nuisance everytime you create a project, making you rename this file so that IDE didn't freak out.",freak out,"Otherwise this will become a nuisance everytime you create a project, making you rename this file so that IDE didn't create issues.","Otherwise this will become a nuisance every time you bake a cake, making you change the recipe so that your taste buds didn't get overwhelmed."
1068,Otherwise we are spinning wheels waiting and waiting and things continue to remain broken meanwhile.,spinning wheels waiting and waiting,Otherwise we are not making progress and things continue to remain broken meanwhile.,"Otherwise, we are spinning the wheels of our bicycles waiting and waiting, while they continue to remain broken."
1069,Otherwise we're risking a memory leak.,memory leak,Otherwise we're risking a failure to release discarded memory,"Otherwise, we're risking a system crash."
1070,"Otherwise, we're stuck with the whitelist forever because we need to check for proper casing.","stuck, whitelist","Otherwise, we're unable to remove the list of allowed things forever because we need to check for proper casing.","Otherwise, we're stuck with the sunflowers forever because we need to check for their ideal blooming season."
1071,"p is a local variable, if we don't free it here, it will be leaked forever.","free, leaked forever","p is a local variable, if we don't uninitiate it here, it will be lost forever.","p is a local variable, if we don't declare it here, it will be inaccessible forever."
1072,P.S: This was just out of curiosity.,out of curiosity,P.S: This was just to satisfy my urge for knowing.,The cat climbed out of the box after inspecting the toy.
1073,pausing my dropbox sync did the job.,job,pausing my dropbox sync solved the problem.,pausing my dropbox sync created the problem.
1074,Pest hasn't had a stable release yet.,stable release,Pest hasn't had a error-free program yet.,"The pest issue remains unresolved, as it has not experienced a viable solution."
